file_name,genome_name,number_of_contigs,size_of_genome,off_limit_region,corrected_genome_size
Acidaminococcus-fermentans-DSM-20731-GCF_000025305.1_ASM2530v1,Acidaminococcus-fermentans-DSM-20731,1,2329769,5141,2324628
Acidaminococcus-sp.-D21-GCF_000174215.1_ASM17421v1,Acidaminococcus-sp-D21,79,2238973,757,2238216
Akkermansia-muciniphila-ATCC-BAA-835-GCF_000020225.1_ASM2022v1,Akkermansia-muciniphila-ATCC-BAA-835,1,2664102,100,2664002
Alistipes-putredinis-DSM-17216-GCF_000154465.1_ASM15446v1,Alistipes-putredinis-DSM-17216,12,2550678,0,2550678
Anaerofustis-stercorihominis-DSM-17244-GCF_000154825.1_ASM15482v1,Anaerofustis-stercorihominis-DSM-17244,5,2284703,184,2284519
Anaerostipes-caccae-DSM-14662-GCF_000154305.1_ASM15430v1,Anaerostipes-caccae-DSM-14662,26,3606936,13942,3592994
Anaerotruncus-colihominis-DSM-17241-GCF_000154565.1_ASM15456v1,Anaerotruncus-colihominis-DSM-17241,28,3719688,1181,3718507
Bacteroides-caccae-ATCC-43185-GCF_000169015.1_ASM16901v1,Bacteroides-caccae-ATCC-43185,21,4564814,1512,4563302
Bacteroides-cellulosilyticus-DSM-14838-GCF_000158035.1_ASM15803v1,Bacteroides-cellulosilyticus-DSM-14838,66,6870144,2191,6867953
Bacteroides-coprocola-DSM-17136-GCF_000154845.1_ASM15484v1,Bacteroides-coprocola-DSM-17136,90,4300117,10054,4290063
Bacteroides-coprophilus-DSM-18228-GCF_000157915.1_ASM15791v1,Bacteroides-coprophilus-DSM-18228,73,4041504,4066,4037438
Bacteroides-dorei-5_1_36-D4-HM-29-GCF_000158335.2_Bact_dorei_5_1_36_D4_V2,Bacteroides-dorei-5-1-36,10,5538248,40510,5497738
Bacteroides-dorei-DSM-17855-GCF_000156075.1_ASM15607v1,Bacteroides-dorei-DSM-17855,40,5566217,5130,5561087
Bacteroides-eggerthii-DSM-20697-GCF_000155815.1_ASM15581v1,Bacteroides-eggerthii-DSM-20697,20,4197635,5542,4192093
Bacteroides-finegoldii-DSM-17565-GCF_000156195.1_ASM15619v1,Bacteroides-finegoldii-DSM-17565,33,4892401,9356,4883045
Bacteroides-fragilis-3_1_12-GCF_000157015.1_ASM15701v1,Bacteroides-fragilis-3-1-12,33,5530115,9811,5520304
Bacteroides-intestinalis-DSM-17393-GCF_000172175.1_ASM17217v1,Bacteroides-intestinalis-DSM-17393,8,6052596,4265,6048331
Bacteroides-ovatus-ATCC-8483-GCF_000154125.1_ASM15412v1,Bacteroides-ovatus-ATCC-8483,32,6465369,19579,6445790
Bacteroides-pectinophilus-ATCC-43243-GCF_000155855.1_ASM15585v1,Bacteroides-pectinophilus-ATCC-43243,9,3028326,3863,3024463
